유통센터명,소재지도로명주소,소재지지번주소,위도,경도,주요품목명,설립연도,전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
대구경북능금농협(안덕) APC,경상북도 청송군 안덕면 묵방길 11,경상북도 청송군 안덕면 감은리 400,36.28609193,128.9469931,사과,,054-874-0996,대구경북능금농협(안덕) APC,2025-11-18,5160000,경상북도 청송군
예산농산물유통센터,충청남도 예산군 신암면 오신로 875,충청남도 예산군 신암면 용궁리 138-4,36.7435362,126.8112727,사과,2008,041-331-3503,충청남도 예산군청,2025-11-11,4610000,충청남도 예산군
덕산농협 농산물산지유통물류센터,충청북도 진천군 덕산읍 초금로 634,충청북도 진천군 덕산읍 용몽리 492-3,36.9010805,127.510607,"수박, 오이",2015,043-536-4387,덕산농협,2025-11-05,4450000,충청북도 진천군
이월농협 농산물산지유통센터,충청북도 진천군 이월면 진광로 765-1,충청북도 진천군 이월면 송림리 465-8,36.9290036,127.4283611,수박,2017,043-536-8383,이월농협,2025-11-05,4450000,충청북도 진천군
남원농협 APC,전북특별자치도 남원시 요천로 1838,전북특별자치도 남원시 고죽동 66-1,35.42573072,127.4115421,오이+양파+복숭아+딸기,2019,063-620-8760,남원농협,2025-11-03,4701000,전북특별자치도 남원시
춘향골농협 APC,전북특별자치도 남원시 금지면 요천로 217,전북특별자치도 남원시 금지면 신월리 738,35.3293314,127.2983768,딸기+감자+포도+양파+멜론+복숭아+상추+토마토,2012,063-631-7045,춘향골농협,2025-11-03,4701000,전북특별자치도 남원시
지리산농협 APC,전북특별자치도 남원시 아영면 내인2길 16-13,전북특별자치도 남원시 아영면 인풍리 938,35.47615145,127.5968448,"포도(캠벨, 샤인)+상추+대추방울토마토+복분자",2010,063-636-5906,지리산농협,2025-11-03,4701000,전북특별자치도 남원시
운봉농협 APC,전북특별자치도 남원시 운봉읍 운봉로 664-11,전북특별자치도 남원시 운봉읍 동천리 324-9,35.43383334,127.5301028,파프리카+상추+포도+사과+대추방울토마토,2006,063-634-0101,운봉농협,2025-11-03,4701000,전북특별자치도 남원시
남원원예농협 APC,전북특별자치도 남원시 아랫정재길 7-14,전북특별자치도 남원시 신정동 445,35.40661949,127.3563626,복숭아+포도+딸기+감자+배,2005,063-636-7800,남원원예농협,2025-11-03,4701000,전북특별자치도 남원시
옥천군 농산물산지유통센터,충청북도 옥천군 옥천읍 가화길 57,충청북도 옥천군 옥천읍 금구리 230,36.3052942607,127.5619960038,포도+복숭아,2010,043-732-9060,충청북도 옥천군청,2024-09-26,4430000,충청북도 옥천군
